id,input_path,state_type,state_name,log_path,memory_gi,deployment_name,work_pool_name,area
0fcb0726-0ea6-411c-b061-360083201bbf,,COMPLETED,Completed,,,,,
b677fcc8-b635-428b-89cb-dc4d2a3c186b,,COMPLETED,Completed,,,,,
ad89d9ba-d159-4a9f-86fc-4fd5b2ebf29a,/nas/Projects/C-BIZ01A/Planet/KARI/20230907_012626_23_24b3_3B_AnalyticMS_SR.tif,CANCELLED,Cancelled,,64.0,SkySat-SR-RGBN,modint-prefect-workpool-2,118411031.0
dbb52b90-e024-43f8-a121-51b2b0258feb,,COMPLETED,Completed,,,,,
1fe31f86-20b3-4089-9592-ddf4cdc5c83b,,COMPLETED,Completed,,,,,
d30d2c86-cadd-4ac9-b3e2-d8667543e087,,COMPLETED,Completed,,,,,
a207d193-bc87-42f7-beac-865caa6aef2a,/nas/COG/planet/Y2025/M11/D11/planet_20251111_062750_ssc10_u0001/20251111_062750_ssc10_u0001_pansharpened_clip_cog.tif,CANCELLED,Cancelled,,,,,144864064.0
25bbc39d-ef3d-47cd-b0c5-c78ae2cbba2f,,COMPLETED,Completed,,,,,
af74076e-7d44-429b-bc8b-206ceb8dd133,,COMPLETED,Completed,,,,,
72cfa9d6-abf1-4610-af43-7103ccb72545,,COMPLETED,Completed,,,,,
426dc151-47a1-4263-a6c6-0a77f60273d7,,COMPLETED,Completed,,,,,
33b57e0d-b409-4f20-a952-4601b98e6e04,,COMPLETED,Completed,,,,,
661ca1dc-96ac-46f3-aa85-6c0621a6c79f,,COMPLETED,Completed,,,,,
92bc4d5e-840c-498b-ad02-139cfc4ed15b,/nas/Dataset/s3/sia_aws_s3/sia-paxsapiens/raw/G-NKI01A/Planet/Yongbyon/20240824_DPRK_NFC_Yongbyon_arc_skysatscene_pansharpened_udm2/composite.tif,COMPLETED,Completed,,,EO-Detection-Ship,modint-prefect-workpool-2,149325150.0
40cc0501-a143-4743-a70d-079ea3001b37,,COMPLETED,Completed,,,,,
44fa37a5-7b49-4fe9-a04f-83beac5eee0c,,COMPLETED,Completed,,,,,
faf546bc-0aa1-43c6-9af9-57104c693e02,,COMPLETED,Completed,,,,,
2aae16e2-46a8-4e84-9fed-264df229d910,/nas/Projects/C-BIZ01A/Planet/KARI/20230907_012318_11_2464_3B_AnalyticMS_SR.tif,COMPLETED,Completed,,64.0,SkySat-SR-RGBN,modint-prefect-workpool-2,102238578.0
2f215ff8-bb13-4ccf-bbc6-bd82f317ad1b,/nas/Projects/C-BIZ01A/Planet/KARI/20230907_013618_69_24a8_3B_AnalyticMS_SR.tif,COMPLETED,Completed,,64.0,SkySat-SR-RGBN,modint-prefect-workpool-2,111558216.0
7f4e81a1-d3f7-47ad-8e9a-d74b597bdb38,/nas/Projects/C-BIZ01A/Planet/KARI/20230907_012833_37_24ba_3B_AnalyticMS_SR.tif,COMPLETED,Completed,,64.0,SkySat-SR-RGBN,modint-prefect-workpool-2,119243019.0
c2893fc1-2a57-420b-b592-ed857cb0192c,/nas/Dataset/s3/sia_aws_s3/sia-paxsapiens/raw/G-NKI01A/Planet/Yongbyon/20240320_DPRK_NFC_Yongbyon_arc_skysatscene_pansharpened_udm2/composite.tif,COMPLETED,Completed,,64.0,EO-Detection-Ship,modint-prefect-workpool-2,166139100.0
f99682b0-12ca-40e9-a8fd-321cacaf2af4,/nas/Projects/C-BIZ01A/Planet/KARI/20230908_021411_61_2478_3B_AnalyticMS_SR.tif,COMPLETED,Completed,,64.0,SkySat-SR-RGBN,modint-prefect-workpool-2,102269042.0
8723856c-8734-4369-a525-e3875226c432,/nas/Dataset/s3/sia_aws_s3/sia-paxsapiens/raw/G-NKI01A/Planet/Yongbyon/20251121_DPRK_NFC_Yongbyon_arс_skysatscene_pansharpened_udm2/composite.tif,COMPLETED,Completed,,,EO-Detection-Train,modint-prefect-workpool-2,145745920.0
be6eb156-9a00-45c5-8af6-5b09dbec34f0,/nas/Dataset/s3/sia_aws_s3/sia-paxsapiens/raw/G-NKI01A/Planet/Yongbyon/20240604_DPRK_NFC_Yongbyon_arc_skysatscene_pansharpened_udm2/composite.tif,COMPLETED,Completed,,,EO-Detection-Train,modint-prefect-workpool-2,130400359.0
32bb5237-7646-4c85-b114-72d3f03cd2fd,/nas/Dataset/s3/sia_aws_s3/sia-paxsapiens/raw/G-NKI01A/Planet/Yongbyon/20240212_DPRK_NFC_Yongbyon_arc_skysatscene_pansharpened_udm2/composite.tif,COMPLETED,Completed,,64.0,EO-Detection-Ship,modint-prefect-workpool-2,146940804.0
d9f53ad6-7691-485e-91de-1908e95e2139,,COMPLETED,Completed,,,,,
70c5660f-7cdf-47e2-9b93-8e4e9e367b16,/nas/Dataset/s3/sia_aws_s3/sia-paxsapiens/raw/G-NKI01A/Planet/Yongbyon/20240824_DPRK_NFC_Yongbyon_arc_skysatscene_pansharpened_udm2/composite.tif,COMPLETED,Completed,,,EO-Detection-Train,modint-prefect-workpool-2,149325150.0
8fc64b56-880b-49e9-a963-872b20637419,/nas/Dataset/s3/sia_aws_s3/sia-paxsapiens/raw/G-NKI01A/Planet/Yongbyon/20240804_DPRK_NFC_Yongbyon_arc_skysatscene_pansharpened_udm2/composite.tif,COMPLETED,Completed,,,EO-Detection-Train,modint-prefect-workpool-2,152888994.0
f5f3cd35-bb09-4d0d-b5a5-f7429409a9ba,/nas/Dataset/s3/sia_aws_s3/sia-paxsapiens/raw/G-NKI01A/Planet/Yongbyon/20240212_DPRK_NFC_Yongbyon_arc_skysatscene_pansharpened_udm2/composite.tif,COMPLETED,Completed,,,EO-Detection-Ship,modint-prefect-workpool-2,146940804.0
